City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Port-Cartier,CA,50.0334,-66.8654,55.62,48,100,7.14,overcast clouds
216,Florence,IT,43.7667,11.25,69.35,88,0,1.14,clear sky
217,Canon City,US,38.441,-105.2424,69.67,30,0,9.22,clear sky
218,Tomatlan,MX,19.9333,-105.25,79.54,64,0,6.46,clear sky
219,Qaanaaq,GL,77.484,-69.3632,14.13,86,28,3.18,scattered clouds
220,Nabire,ID,-3.3667,135.4833,80.13,83,98,2.75,overcast clouds
221,Jiaojiang,CN,28.6803,121.4428,73.99,92,100,3.0,overcast clouds
222,Beloha,MG,-25.1667,45.05,65.44,89,0,2.59,clear sky
223,Zhumadian,CN,32.9794,114.0294,67.15,44,100,7.09,overcast clouds
224,Moree,AU,-29.4667,149.85,65.26,58,65,5.41,broken clouds
225,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,16.11,scattered clouds
226,Vila Velha,BR,-20.3297,-40.2925,69.75,93,75,3.44,broken clouds
227,Chiquilistlan,MX,20.2,-103.8167,81.39,20,17,6.11,few clouds
228,Rio Gallegos,AR,-51.6226,-69.2181,37.45,75,0,25.32,clear sky
229,Tiksi,RU,71.6872,128.8694,26.33,83,100,10.11,overcast clouds
230,Mecca,SA,21.4267,39.8261,84.72,22,5,5.73,clear sky
231,Rafaela,AR,-31.2503,-61.4867,53.01,64,100,8.99,overcast clouds
232,Dubbo,AU,-32.25,148.6167,66.33,63,40,5.75,scattered clouds
233,Kaoma,ZM,-14.7833,24.8,52.65,45,0,4.56,clear sky
234,Saskylakh,RU,71.9167,114.0833,26.73,90,93,6.06,overcast clouds
235,Bethel,US,41.3712,-73.414,60.89,69,0,3.44,clear sky
236,Kieta,PG,-6.2167,155.6333,84.2,71,79,5.1,light rain
237,Vao,NC,-22.6667,167.4833,74.43,75,79,7.9,broken clouds
238,Lavrentiya,RU,65.5833,-171.0,41.94,84,100,7.74,overcast clouds
239,Bengkulu,ID,-3.8004,102.2655,77.68,72,99,2.13,overcast clouds
240,Ilulissat,GL,69.2167,-51.1,37.42,48,75,12.66,broken clouds
241,Vestmannaeyjar,IS,63.4427,-20.2734,45.5,72,27,4.21,scattered clouds
242,Ordzhonikidze,KZ,52.4411,61.7408,53.46,82,98,10.56,light rain
243,Padang,ID,-0.9492,100.3543,75.25,66,96,1.59,overcast clouds
244,Celestun,MX,20.8667,-90.4,85.73,64,54,4.52,broken clouds
245,Yeppoon,AU,-23.1333,150.7333,74.98,76,91,11.01,overcast clouds
246,Kalmar,SE,56.6616,16.3616,52.97,91,100,3.0,light rain
247,Vostok,RU,46.4856,135.8833,70.99,51,100,2.55,overcast clouds
248,Manoel Urbano,BR,-8.8389,-69.2597,76.48,85,99,1.21,overcast clouds
249,Ternate,ID,0.8,127.4,82.71,71,86,1.48,overcast clouds
250,Ishigaki,JP,24.3448,124.1572,77.13,100,75,4.61,shower rain
251,Pevek,RU,69.7008,170.3133,31.69,91,99,7.2,overcast clouds
252,Usinsk,RU,65.9939,57.5281,54.86,70,90,23.06,overcast clouds
253,Enid,US,36.3956,-97.8784,53.76,96,100,14.97,moderate rain
254,Ocos,GT,14.5094,-92.1933,77.18,80,99,13.82,overcast clouds
